-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to horse power of lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.10.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.10.csv"
}
-----
State,District,Block,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,0,0,21,0,0,0,0,21
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,0,16,45,1,0,0,0,62
ANDHRA PRADESH,ADILABAD,BELA,0,1,23,0,0,0,0,24
ANDHRA PRADESH,ADILABAD,BHAINSA,0,21,1060,0,0,0,0,1081
ANDHRA PRADESH,ADILABAD,BOATH,1,30,648,0,1,1,1,682
ANDHRA PRADESH,ADILABAD,CHENNUR,0,4,0,0,0,0,0,4
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,12,0,0,0,0,0,12
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,74,572,1,1,0,0,648
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,0,1,6,0,4,0,0,11
ANDHRA PRADESH,ADILABAD,ICHODA,0,12,199,0,0,0,0,211
ANDHRA PRADESH,ADILABAD,JAINAD,0,0,15,0,0,0,0,15
ANDHRA PRADESH,ADILABAD,JAINOOR,0,2,0,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,0,1,0,0,0,1
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),0,2,0,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,KOTAPALLE,0,203,1,0,0,0,0,204
ANDHRA PRADESH,ADILABAD,KUBEER,0,201,227,0,0,0,0,428
ANDHRA PRADESH,ADILABAD,KUNTALA,1,20,712,1,2,0,0,736
ANDHRA PRADESH,ADILABAD,LAHESRA,0,1,1003,0,0,0,0,1004
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,10,33,0,0,0,0,43
ANDHRA PRADESH,ADILABAD,MUDHOLE,0,416,532,0,0,2,0,950
ANDHRA PRADESH,ADILABAD,NARNOOR,0,1,0,0,0,0,0,1
ANDHRA PRADESH,ADILABAD,NENNAL,0,0,1,0,3,0,0,4
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,2,101,0,0,0,0,103
ANDHRA PRADESH,ADILABAD,NIRMAL,0,49,77,0,0,0,0,126
ANDHRA PRADESH,ADILABAD,SARANGAPUR,0,162,382,1,0,0,0,545
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,0,12,0,0,0,0,12
ANDHRA PRADESH,ADILABAD,TALAMADUGU,0,7,73,1,0,0,0,81
ANDHRA PRADESH,ADILABAD,TAMSI,0,7,48,0,0,0,0,55
ANDHRA PRADESH,ADILABAD,TANUR,0,143,54,0,0,0,0,197
ANDHRA PRADESH,ANANTHAPUR,AGALI,0,0,100,72,0,0,0,172
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,1,36,13,0,0,0,50
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,0,0,173,52,0,0,0,225
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,0,21,221,32,18,0,0,292
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,118,12,0,0,0,130
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,0,0,168,138,5,0,0,311
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,0,2,243,129,1,0,0,375
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,2,0,314,47,3,1,0,367
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,0,0,313,4,0,0,0,317
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,3,35,627,304,123,5,0,1097
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,0,0,135,4,3,0,0,142
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,0,0,141,94,3,1,0,239
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,0,1,579,144,6,2,0,732
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,0,0,167,60,5,0,0,232
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,0,1,33,3,0,0,0,37
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,1,0,705,52,0,0,0,758
ANDHRA PRADESH,ANANTHAPUR,GOOTY,0,0,213,35,5,0,0,253
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,0,0,198,7,2,0,0,207
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,0,2,91,49,30,4,0,176
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,10,0,427,23,0,4,0,464
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,0,0,206,5,2,0,0,213
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,3,0,358,190,2,5,0,558
ANDHRA PRADESH,ANANTHAPUR,KADIRI,0,25,84,7,0,2,0,118
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,0,0,358,42,21,0,0,421
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,0,1,274,15,3,1,0,294
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,0,0,196,50,0,1,0,247
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,0,3,608,165,12,3,0,791
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,0,0,83,11,1,0,0,95
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,0,4,303,37,0,3,0,347
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,0,0,90,8,3,0,0,101
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,2,0,315,269,0,5,0,591
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,0,0,235,75,2,0,1,313
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,0,0,129,22,0,0,0,151
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,1,92,87,5,0,0,185
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,1,7,130,7,0,0,0,145
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,0,0,53,14,0,0,0,67
ANDHRA PRADESH,ANANTHAPUR,NARPALA,0,3,263,107,1,0,0,374
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,0,0,28,25,10,0,0,63
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,1,2,594,6,2,2,0,607
ANDHRA PRADESH,ANANTHAPUR,PARIGI,0,0,395,164,0,0,0,559
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,25,0,1118,248,18,3,1,1413
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,0,0,211,66,0,0,0,277
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,0,0,191,44,0,0,0,235
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,0,1,97,437,38,14,0,587
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,0,3,104,14,0,0,0,121
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,0,1,175,9,2,0,0,187
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,0,0,198,305,3,0,0,506
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,1,0,378,133,0,2,0,514
ANDHRA PRADESH,ANANTHAPUR,RODDAM,0,0,658,5,0,1,0,664
ANDHRA PRADESH,ANANTHAPUR,ROLLA,0,1,64,27,0,0,0,92
ANDHRA PRADESH,ANANTHAPUR,SETTUR,0,0,95,3,1,0,0,99
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,0,2,459,65,15,2,0,543
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,0,17,268,63,0,0,0,348
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,0,315,54,8,1,0,378
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,0,42,639,81,11,1,0,774
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,0,3,33,43,0,0,1,80
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,0,2,118,90,5,1,0,216
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,0,0,125,3,0,0,4,132
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,0,0,83,0,0,0,0,83
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,0,0,39,2,0,0,0,41
ANDHRA PRADESH,ANANTHAPUR,YADIKI,55,0,376,88,7,0,0,526
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,2,0,520,104,31,12,0,669
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,0,78,133,59,6,0,0,276
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,0,8,52,14,0,0,0,74
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,0,10,38,10,1,0,0,59
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,1,35,309,67,0,1,0,413
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,0,55,34,6,0,0,0,95
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,0,42,57,49,0,0,0,148
ANDHRA PRADESH,CHITTOOR,CHITTOOR,0,2,23,2,0,0,0,27
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,0,20,127,4,4,0,1,156
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,0,0,59,35,1,0,0,95
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,0,9,57,9,2,0,0,77
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,0,65,6,1,0,0,72
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,0,3,31,0,0,0,0,34
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,1,4,42,4,0,0,0,51
ANDHRA PRADESH,CHITTOOR,IRALA,0,9,73,24,10,1,0,117
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,0,6,74,2,0,0,0,82
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,12,97,81,0,0,0,190
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,8,57,37,87,10,0,199
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,0,30,65,30,30,1,0,156
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,2,51,48,5,0,2,0,108
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,20,15,0,0,0,0,35
ANDHRA PRADESH,CHITTOOR,KUPPAM,0,1,37,36,0,0,0,74
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,0,3,157,22,2,0,0,184
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,0,36,212,52,0,0,0,300
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,0,1,59,45,0,1,0,106
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,3,15,98,5,0,0,0,121
ANDHRA PRADESH,CHITTOOR,NAGARI,1,12,316,40,0,1,0,370
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,0,81,54,0,0,0,0,135
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,0,8,51,86,2,1,0,148
ANDHRA PRADESH,CHITTOOR,NINDRA,1,6,370,20,1,0,0,398
ANDHRA PRADESH,CHITTOOR,PAKALA,0,2,7,16,0,0,0,25
ANDHRA PRADESH,CHITTOOR,PALAMANERU,0,32,71,4,0,0,0,107
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,0,7,30,19,5,1,0,62
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,0,8,33,17,1,0,0,59
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,0,37,102,29,3,1,0,172
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,0,48,137,57,0,0,0,242
ANDHRA PRADESH,CHITTOOR,PENUMURU,0,1,32,35,29,0,0,97
ANDHRA PRADESH,CHITTOOR,PICHATURU,0,2,76,12,0,0,0,90
ANDHRA PRADESH,CHITTOOR,PILERU,0,0,25,1,0,0,0,26
ANDHRA PRADESH,CHITTOOR,PULICHERLA,0,32,131,31,9,1,0,204
ANDHRA PRADESH,CHITTOOR,PUNGANURU,1,1,132,61,2,0,0,197
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,2,28,72,18,9,0,0,129
ANDHRA PRADESH,CHITTOOR,PUTTURU,0,52,56,71,1,0,0,180
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,1,0,45,10,0,2,0,58
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,0,1,3,0,0,0,4
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,0,320,58,11,0,0,0,389
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,0,8,113,27,0,0,0,148
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,0,21,20,3,0,0,1,45
ANDHRA PRADESH,CHITTOOR,SODAM,0,19,3,4,1,0,0,27
ANDHRA PRADESH,CHITTOOR,SOMALA,0,15,20,22,2,0,0,59
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,0,42,201,9,0,4,0,256
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,0,2,82,110,15,0,0,209
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,0,0,11,0,0,0,0,11
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,0,47,486,35,11,0,0,579
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),0,1,173,161,24,1,0,360
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),1,11,7,4,0,0,0,23
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,0,88,57,143,1,2,0,291
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,0,2,350,10,1,1,0,364
ANDHRA PRADESH,CHITTOOR,VAYALPAD,0,21,39,40,0,1,0,101
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,0,8,48,7,0,0,0,63
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,1,3,36,44,0,0,0,84
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,0,0,93,40,2,0,0,135
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,0,17,1,0,0,0,18
ANDHRA PRADESH,CHITTOOR,YERPEDU,0,400,533,51,1,0,0,985
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,0,5,34,0,0,0,0,39
ANDHRA PRADESH,CUDDAPAH,ATLUR,0,0,35,0,0,0,0,35
ANDHRA PRADESH,CUDDAPAH,B.KODUR,0,0,46,64,14,0,0,124
ANDHRA PRADESH,CUDDAPAH,BADVEL,0,0,56,15,5,7,0,83
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,0,0,4,22,7,0,0,33
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,0,4,362,25,2,0,0,393
ANDHRA PRADESH,CUDDAPAH,CHAPAD,1,0,588,261,51,7,0,908
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,0,0,4,2,5,0,0,11
ANDHRA PRADESH,CUDDAPAH,CHENNUR,0,0,36,13,165,9,0,223
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,0,1,3,11,3,4,0,22
ANDHRA PRADESH,CUDDAPAH,CHITVEL,0,1,80,26,651,4,0,762
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,0,0,1,0,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,DUVVUR,0,0,0,0,85,93,0,178
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,0,9,7,0,0,2,0,18
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,0,1,107,32,17,0,0,157
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,1,82,729,118,19,5,0,954
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,0,4,62,289,105,15,0,475
ANDHRA PRADESH,CUDDAPAH,KODUR,1,1,19,37,5,0,0,63
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,32,1107,66,0,0,0,1205
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,0,6,0,0,0,0,6
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,0,0,39,37,20,1,0,97
ANDHRA PRADESH,CUDDAPAH,NANDALUR,0,0,214,5,0,10,0,229
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,0,4,5,0,0,0,9
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,0,0,308,32,0,0,0,340
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,6,9,93,980,141,16,33,1278
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,0,0,24,31,41,0,0,96
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,1,0,692,65,17,3,0,778
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,0,0,45,3,0,0,0,48
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,0,1,56,64,1,0,122
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,0,0,210,4,1,1,0,216
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,0,0,13,17,0,0,0,30
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,0,3,0,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,0,44,10,0,0,0,1,55
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,1,0,347,7,431,171,0,957
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,0,0,11,0,0,0,11
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,1,0,337,36,0,0,0,374
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,0,193,456,17,1,0,0,667
ANDHRA PRADESH,CUDDAPAH,THONDUR,0,0,29,0,0,0,0,29
ANDHRA PRADESH,CUDDAPAH,VALLUR,1,48,305,42,1,0,2,399
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,15,209,34,9,0,0,267
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,0,5,149,86,35,3,0,278
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,33,329,96,121,1,0,580
ANDHRA PRADESH,CUDDAPAH,VEMULA,0,0,13,99,0,2,0,114
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,5,23,0,0,0,0,28
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,3,144,6,0,0,0,153
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,1,6,15,3,6,0,31
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,0,0,571,40,2,0,0,613
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,0,1,550,0,2,0,0,553
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,0,0,31,74,1,0,0,106
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,0,0,484,6,1,1,0,492
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,1,4,1123,121,27,5,0,1281
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,0,0,218,2,2,0,0,222
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,1,1,1009,274,17,1,0,1303
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,0,0,107,0,29,0,0,136
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,2,4,39,55,130,384,0,614
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,6,2,93,45,7,4,0,157
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,0,0,6,18,8,0,32
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,0,0,34,20,0,0,0,54
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,0,0,25,5,13,96,0,139
ANDHRA PRADESH,EAST GODAVARI,KADIAM,0,1,1723,8,2,2,0,1736
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,0,0,51,0,0,0,0,51
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,0,0,24,0,28,0,0,52
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,0,0,652,80,3,2,2,739
ANDHRA PRADESH,EAST GODAVARI,KARAPA,0,1,5,0,1,12,0,19
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,0,0,0,124,476,111,0,711
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,0,0,359,0,0,1,0,360
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,2,0,77,142,10,1,0,232
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,0,0,62,9,4,0,0,75
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,1,0,1244,9,0,2,0,1256
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,301,0,0,0,0,0,0,301
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,0,2,424,0,4,0,0,430
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,0,0,708,18,4,0,0,730
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,0,0,557,0,7,0,0,564
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,1,0,769,16,2,0,1,789
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,0,90,176,0,35,0,0,301
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,0,15,242,0,2,0,0,259
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,1,2,23,26,150,129,0,331
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,4,0,43,34,410,114,0,605
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,0,0,59,185,58,1,0,303
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,0,0,186,16,4,2,0,208
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,0,0,0,0,2,0,0,2
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,0,1,556,2,13,3,0,575
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,0,0,0,7,9,1,0,17
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,0,0,943,95,26,1,1,1066
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,0,0,340,2,28,1,0,371
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,0,0,115,1,14,0,0,130
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,0,0,1,8,8,49,0,66
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,0,1,47,204,30,0,0,282
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,0,1,231,270,117,18,0,637
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,0,0,29,0,0,0,0,29
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,0,0,68,166,84,59,0,377
ANDHRA PRADESH,EAST GODAVARI,TUNI,0,0,97,353,7,0,0,457
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,0,0,37,5,0,0,0,42
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,3,0,11,205,752,40,0,1011
ANDHRA PRADESH,GUNTUR,ACHAMPET,0,0,11,0,0,0,0,11
ANDHRA PRADESH,GUNTUR,AMARAVATHI,2,63,237,0,0,0,0,302
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,45,68,97,1,0,0,0,211
ANDHRA PRADESH,GUNTUR,BAPATLA,0,0,24,0,4,0,0,28
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,2,0,48,0,0,0,0,50
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,0,281,661,15,1,0,0,958
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,0,27,131,0,0,0,0,158
ANDHRA PRADESH,GUNTUR,CHEBROLE,1,11,19,0,0,0,0,31
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,0,1,84,0,0,1,13,99
ANDHRA PRADESH,GUNTUR,DACHEPALLE,0,0,45,0,0,0,0,45
ANDHRA PRADESH,GUNTUR,DUGGIRALA,0,564,894,1,0,2,0,1461
ANDHRA PRADESH,GUNTUR,DURGI,0,0,27,4,0,0,0,31
ANDHRA PRADESH,GUNTUR,EDLAPADU,0,2,29,1,0,0,0,32
ANDHRA PRADESH,GUNTUR,GUNTUR,5,21,4,0,0,0,0,30
ANDHRA PRADESH,GUNTUR,GURAZALA,0,0,63,0,0,0,0,63
ANDHRA PRADESH,GUNTUR,IPUR,0,0,11,3,0,0,0,14
ANDHRA PRADESH,GUNTUR,KAREMPUDI,0,0,66,0,0,0,0,66
ANDHRA PRADESH,GUNTUR,KARLAPALEM,0,0,38,2,0,0,0,40
ANDHRA PRADESH,GUNTUR,KOLLIPARA,2,932,727,11,0,3,0,1675
ANDHRA PRADESH,GUNTUR,KOLLUR,0,1182,1265,83,3,0,0,2533
ANDHRA PRADESH,GUNTUR,KROSURU,0,0,4,0,0,0,0,4
ANDHRA PRADESH,GUNTUR,MACHERLA,0,11,72,17,8,0,0,108
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,0,575,312,3,0,0,0,890
ANDHRA PRADESH,GUNTUR,NADENDLA,0,0,1,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,NAGARAM,0,26,6,1,0,0,0,33
ANDHRA PRADESH,GUNTUR,NARASARAOPET,0,0,3,0,0,0,0,3
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,0,3,2,0,0,0,0,5
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,0,35,16,2,1,3,0,57
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,0,0,88,0,1,0,0,89
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,0,5,0,0,0,0,0,5
ANDHRA PRADESH,GUNTUR,PONNUR,2,384,491,66,15,3,0,961
ANDHRA PRADESH,GUNTUR,PRATHIPADU,0,10,11,0,0,0,0,21
ANDHRA PRADESH,GUNTUR,RAJUPALEM,0,0,25,0,0,0,0,25
ANDHRA PRADESH,GUNTUR,RENTACHINTALA,0,0,29,0,0,0,0,29
ANDHRA PRADESH,GUNTUR,REPALLE,0,25,62,1,0,0,0,88
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,0,0,1,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,SAV'PURAM KANUM'PUDI,0,0,6,0,0,0,0,6
ANDHRA PRADESH,GUNTUR,TADEPALLE,1,761,255,0,1,1,0,1019
ANDHRA PRADESH,GUNTUR,TADIKONDA,17,39,271,0,0,0,0,327
ANDHRA PRADESH,GUNTUR,TENALI,1,119,738,1,0,0,0,859
ANDHRA PRADESH,GUNTUR,THULLUR,0,1823,199,11,17,3,2,2055
ANDHRA PRADESH,GUNTUR,TSUNDUR,0,183,332,17,0,0,0,532
ANDHRA PRADESH,GUNTUR,VELDURTHY,0,0,387,26,0,0,0,413
ANDHRA PRADESH,GUNTUR,VEMURU,2,111,386,32,2,0,1,534
ANDHRA PRADESH,GUNTUR,VINUKONDA,0,3,14,0,0,0,0,17
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,0,3,54,0,0,0,0,57
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,0,13,1,0,0,0,0,14
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,0,7,2,0,0,0,1,10
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,0,5,14,0,0,0,0,19
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,0,25,17,0,0,0,0,42
