-----
{
 "description": "This data provides details on the total number of days each member signed the member's attendance register of session 4 of Lok Sabha 15 from 22nd February 2010 to 16th March 2010 and 12th April 2010 to 07th May 2010.", 
 "file_name": "Attendance_of_the_Members_of_Lok_Sabha_15_Session_4.xls", 
 "title": "Download XLS for Attendance of the Members of Lok Sabha 15 for Budget Session 4", 
 "url": "http://data.gov.in/sites/default/files/Attendance_of_the_Members_of_Lok_Sabha_15_Session_4.xls"
}
-----
"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
33.0,78.0,"Shri  Vijay  Bahuguna                                          ",15.0,4.0,"Uttarakhand                                                 ","Tehri Garhwal",32.0,32.0
34.0,78.0,"Shri  Vincent H.  Pala                                              ",15.0,4.0,"Meghalaya                                                   ","Shillong",32.0,"M"
35.0,79.0,"Shri  Madan Lal  Sharma                                            ",15.0,4.0,"Jammu and Kashmir                                           ","Jammu",32.0,31.0
36.0,80.0,"Chaudhary  Lal  Singh                                             ",15.0,4.0,"Jammu and Kashmir                                           ","Udhampur",32.0,30.0
37.0,81.0,"Shri  Mohammed  Azharuddin                                        ",15.0,4.0,"Uttar Pradesh                                               ","Moradabad",32.0,25.0
38.0,82.0,"Shri  Hamdullah  Sayeed                                            ",15.0,4.0,"Lakshadweep                                                 ","Lakshadweep",32.0,32.0
39.0,83.0,"Shri  Ashok  Tanwar                                            ",15.0,4.0,"Haryana                                                     ","Sirsa",32.0,29.0
40.0,84.0,"Shri  K.C.  Singh Baba                                        ",15.0,4.0,"Uttarakhand                                                 ","Nainital-Udhamsingh Nagar",32.0,25.0
41.0,85.0,"Shri  Vijay Inder  Singla                                            ",15.0,4.0,"Punjab                                                      ","Sangrur",32.0,"M"
42.0,88.0,"Shri  Sabbam  Hari                                              ",15.0,4.0,"Andhra Pradesh                                              ","Anakapalli",32.0,25.0
43.0,89.0,"Shri  Ravneet  Singh                                             ",15.0,4.0,"Punjab                                                      ","Anandpur Sahib",32.0,31.0
44.0,90.0,"Shri  Mahabal  Mishra                                            ",15.0,4.0,"Delhi                                                       ","West Delhi",32.0,31.0
45.0,91.0,"Shri  Ramesh  Kumar                                             ",15.0,4.0,"Delhi                                                       ","South Delhi",32.0,31.0
46.0,92.0,"Shri  Ismail Hussain  ",15.0,4.0,"Assam                                                       ","Barpeta",32.0,32.0
47.0,93.0,"Shri  Mohammad Asrarul  Haque                                             ",15.0,4.0,"Bihar                                                       ","Kishanganj",32.0,30.0
48.0,94.0,"Shri  Takam  Sanjoy                                            ",15.0,4.0,"Arunachal Pradesh                                           ","Arunachal West",32.0,25.0
49.0,97.0,"Shri  P.  Viswanathan                                       ",15.0,4.0,"Tamil Nadu                                                  ","Kancheepuram",32.0,30.0
50.0,98.0,"Shri  Sheesh Ram  Ola                                               ",15.0,4.0,"Rajasthan                                                   ","Jhunjhunu",32.0,29.0
51.0,99.0,"Shri  T.R.  Baalu                                             ",15.0,4.0,"Tamil Nadu                                                  ","Sriperumbudur",32.0,29.0
52.0,100.0,"Shri  Vilasrao Baburao  Muttemwar                                         ",15.0,4.0,"Maharashtra                                                 ","Nagpur",32.0,22.0
53.0,101.0,"Shri  Manikrao Hodlya  Gavit                                             ",15.0,4.0,"Maharashtra                                                 ","Nandurbar",32.0,"M"
54.0,102.0,"Shri  Suresh  Kalmadi                                           ",15.0,4.0,"Maharashtra                                                 ","Pune",32.0,24.0
55.0,105.0,"Shri  Gurudas  Kamat                                             ",15.0,4.0,"Maharashtra                                                 ","Mumbai-North-West",32.0,"M"
56.0,106.0,"Dr.    Chinta Mohan                                      ",15.0,4.0,"Andhra Pradesh                                              ","Tirupati",32.0,29.0
57.0,107.0,"Shri  Biren Singh  Engti                                             ",15.0,4.0,"Assam                                                       ","Autonomous District",32.0,32.0
58.0,108.0,"Dr.  Kavuri Samba Siva  Rao                                               ",15.0,4.0,"Andhra Pradesh                                              ","Eluru",32.0,25.0
59.0,110.0,"Shri  Jai Prakash  Agarwal                                           ",15.0,4.0,"Delhi                                                       ","North East Delhi",32.0,32.0
60.0,112.0,"Shri  Datta  Meghe                                             ",15.0,4.0,"Maharashtra                                                 ","Wardha",32.0,31.0
61.0,113.0,"Shri   Rayapati S.  Rao                                               ",15.0,4.0,"Andhra Pradesh                                              ","Guntur",32.0,23.0
62.0,114.0,"Shri  Raj  Babbar                                            ",15.0,4.0,"Uttar Pradesh                                               ","Salempur",32.0,26.0
63.0,115.0,"Dr.  Manda  Jagannath                                         ",15.0,4.0,"Andhra Pradesh                                              ","Nagarkurnool",32.0,32.0
64.0,116.0,"Shri  A. Venkatarami  Reddy                                             ",15.0,4.0,"Andhra Pradesh                                              ","Anantapur",32.0,29.0
65.0,117.0,"Shri  Somabhai Gandalal Koli  Patel                                             ",15.0,4.0,"Gujarat                                                     ","Surendranagar",32.0,27.0
66.0,118.0,"Shri  Avtar Singh  Bhadana                                           ",15.0,4.0,"Haryana                                                     ","Faridabad",32.0,20.0
67.0,119.0,"Shri  P.C.  Chacko                                            ",15.0,4.0,"Kerala                                                      ","Thrissur",32.0,31.0
68.0,120.0,"Dr.  Girija  Vyas                                              ",15.0,4.0,"Rajasthan                                                   ","Chittorgarh",32.0,32.0
69.0,121.0,"Shri  Inderjit Singh  Rao                                              ",15.0,4.0,"Haryana                                                     ","Gurgaon",32.0,29.0
70.0,123.0,"Shri  Sanjay  Nirupam                                           ",15.0,4.0,"Maharashtra                                                 ","Mumbai-North",32.0,31.0
71.0,124.0,"Shri  Dip  Gogoi                                             ",15.0,4.0,"Assam                                                       ","Kaliabor",32.0,24.0
72.0,126.0,"Shri  Francisco  Sardinha                                          ",15.0,4.0,"Goa                                                         ","South Goa",32.0,30.0
73.0,127.0,"Shri  Magunta Srinivasulu  Reddy                                             ",15.0,4.0,"Andhra Pradesh                                              ","Ongole",32.0,20.0
74.0,128.0,"Shri  N.S.V.  Chitthan                                          ",15.0,4.0,"Tamil Nadu                                                  ","Dindigul",32.0,31.0
75.0,129.0,"Dr.  Arvind Kumar  Sharma                                            ",15.0,4.0,"Haryana                                                     ","Karnal",32.0,26.0
76.0,130.0,"Dr.  Sanjay  Singh                                             ",15.0,4.0,"Uttar Pradesh                                               ","Sultanpur",32.0,29.0
77.0,131.0,"Shri  Jayant  Chaudhary                                         ",15.0,4.0,"Uttar Pradesh                                               ","Mathura",32.0,31.0
78.0,132.0,"Shri  Bhaskarrao  Patil  Khatgaonkar  ",15.0,4.0,"Maharashtra                                                 ","Nanded",32.0,26.0
79.0,133.0,"Shri  Deepender Singh  Hooda                                             ",15.0,4.0,"Haryana                                                     ","Rohtak",32.0,25.0
80.0,134.0,"Shri  Bhakta Charan  Das                                               ",15.0,4.0,"Orissa                                                      ","Kalahandi",32.0,25.0
81.0,135.0,"Shri  Tarachand  Bhagora                                           ",15.0,4.0,"Rajasthan                                                   ","Banswara",32.0,31.0
82.0,136.0,"Km.  Agatha K.  Sangma                                            ",15.0,4.0,"Meghalaya                                                   ","Tura",32.0,"M"
83.0,137.0,"Rajkumari  Ratna  Singh                                             ",15.0,4.0,"Uttar Pradesh                                               ","Pratapgarh",32.0,26.0
84.0,138.0,"Smt.  Priya  Dutt                                              ",15.0,4.0,"Maharashtra                                                 ","Mumbai-North-Central",32.0,22.0
85.0,139.0,"Smt.  Santosh  Chowdhary                                         ",15.0,4.0,"Punjab                                                      ","Hoshiarpur",32.0,31.0
86.0,140.0,"Sardar  Sukhdev  Singh    Libra                                    ",15.0,4.0,"Punjab                                                      ","Fategarh Sabhib",32.0,31.0
87.0,141.0,"Shri  Gajendra Singh  Rajukhedi                                         ",15.0,4.0,"Madhya Pradesh                                              ","Dhar",32.0,28.0
88.0,142.0,"Shri  Sanjay Singh  Chauhan                                           ",15.0,4.0,"Uttar Pradesh                                               ","Bijnor",32.0,28.0
89.0,143.0,"Shri  Anjan Kumar  Yadav. M                                          ",15.0,4.0,"Andhra Pradesh                                              ","Secunderabad",32.0,25.0
90.0,144.0,"Shri  Gutha  Sukender Reddy                                    ",15.0,4.0,"Andhra Pradesh                                              ","Nalgonda",32.0,25.0
91.0,145.0,"Shri  G.V.  Harsha Kumar                                      ",15.0,4.0,"Andhra Pradesh                                              ","Amalapuram",32.0,22.0
92.0,146.0,"Shri  Aruna Kumar  Vundavalli                                        ",15.0,4.0,"Andhra Pradesh                                              ","Rajahmundry",32.0,32.0
93.0,147.0,"Shri  S.P.Y.  Reddy                                             ",15.0,4.0,"Andhra Pradesh                                              ","Nandyal",32.0,21.0
94.0,148.0,"Shri  Lalit  Mohan  Suklabaidya                                       ",15.0,4.0,"Assam                                                       ","Karimganj",32.0,32.0
95.0,149.0,"Shri  Vikrambhai Arjanbhai  Maadam    Ahir                                    ",15.0,4.0,"Gujarat                                                     ","Jamnagar",32.0,30.0
96.0,150.0,"Shri    Lagadapati   Rajagopal                            ",15.0,4.0,"Andhra Pradesh                                              ","Vijayawada",32.0,28.0
97.0,151.0,"Smt.    Botcha Jhansi Lakshmi                             ",15.0,4.0,"Andhra Pradesh                                              ","Vizianagaram",32.0,30.0
98.0,152.0,"Smt.  Ingrid  Mcleod                                            ",15.0,4.0,"Chhattisgarh                                                ","Nominated Anglo-Indian",32.0,31.0
99.0,153.0,"Shri    Bapiraju  Kanumuru                                ",15.0,4.0,"Andhra Pradesh                                              ","Narsapuram",32.0,31.0
100.0,154.0,"Shri  Kishan V.  Patel                                             ",15.0,4.0,"Gujarat                                                     ","Valsad",32.0,27.0
101.0,155.0,"Shri  Eknath  Gaikwad                                           ",15.0,4.0,"Maharashtra                                                 ","Mumbai-South-Central",32.0,32.0
102.0,156.0,"Dr.  Thokchom  Meinya                                            ",15.0,4.0,"Manipur                                                     ","Inner Manipur",32.0,32.0
103.0,157.0,"Shri  M.  Krishnaswamy                                      ",15.0,4.0,"Tamil Nadu                                                  ","Arani",32.0,29.0
104.0,158.0,"Dr.  Nirmal  Khatri                                            ",15.0,4.0,"Uttar Pradesh                                               ","Faizabad",32.0,31.0
105.0,160.0,"Smt.  Shruti  Choudhry                                          ",15.0,4.0,"Haryana                                                     ","Bhiwani-Mahendragarh",32.0,30.0
106.0,161.0,"Dr.  Prabha Kishore  Taviad                                            ",15.0,4.0,"Gujarat                                                     ","Dahod",32.0,32.0
107.0,162.0,"Smt.  Rajesh Nandini  Singh                                             ",15.0,4.0,"Madhya Pradesh                                              ","Shahdol",32.0,30.0
108.0,163.0,"Ms.  Mausam  Noor                                              ",15.0,4.0,"West Bengal                                                 ","Maldaha Uttar",32.0,30.0
109.0,164.0,"Smt.  Sarika  D.S. Baghel                                       ",15.0,4.0,"Uttar Pradesh                                               ","Hathras",32.0,31.0
110.0,165.0,"Smt.  Annu  Tandon                                            ",15.0,4.0,"Uttar Pradesh                                               ","Unnao",32.0,29.0
111.0,166.0,"Smt.  Meenakshi  Natrajan                                          ",15.0,4.0,"Madhya Pradesh                                              ","Mandsour",32.0,31.0
112.0,167.0,"Dr.  Jyoti  Mirdha                                            ",15.0,4.0,"Rajasthan                                                   ","Nagaur",32.0,29.0
113.0,168.0,"Shri  Devendra  Nagpal                                            ",15.0,4.0,"Uttar Pradesh                                               ","Amroha",32.0,22.0
114.0,169.0,"Shri  Manicka  Tagore                                            ",15.0,4.0,"Tamil Nadu                                                  ","Virudhunagar",32.0,28.0
115.0,170.0,"Shri  Prabhakar  Ponnam                                            ",15.0,4.0,"Andhra Pradesh                                              ","Karimnagar",32.0,32.0
116.0,171.0,"Shri  Sajjan Singh  Verma                                             ",15.0,4.0,"Madhya Pradesh                                              ","Dewas",32.0,28.0
117.0,172.0,"Shri  Abdul Mannan  Hossain                                           ",15.0,4.0,"West Bengal                                                 ","Murshidabad",32.0,15.0
118.0,173.0,"Shri  S.  Alagiri                                           ",15.0,4.0,"Tamil Nadu                                                  ","Cuddalore",32.0,24.0
119.0,174.0,"Shri  Basori Singh  Masram                                            ",15.0,4.0,"Madhya Pradesh                                              ","Mandla",32.0,31.0
120.0,175.0,"Shri  Kuvarjibhai Mohanbhai  Bavalia                                           ",15.0,4.0,"Gujarat                                                     ","Rajkot",32.0,27.0
121.0,176.0,"Shri   Vitthalbhai  Harnsrajbhai   Radadiya                           ",15.0,4.0,"Gujarat                                                     ","Porbandar",32.0,3.0
122.0,177.0,"Dr.  G.  Vivekanand                                        ",15.0,4.0,"Andhra Pradesh                                              ","Peddapalle",32.0,26.0
123.0,178.0,"Shri  Suresh Kumar  Shetkar                                           ",15.0,4.0,"Andhra Pradesh                                              ","Zahirabad",32.0,31.0
124.0,179.0,"Shri  Mukeshkumar  Bheiravdanji  Gadhvi                              ",15.0,4.0,"Gujarat                                                     ","Banaskantha",32.0,29.0
125.0,180.0,"Shri  Jagdish  Thakor                                            ",15.0,4.0,"Gujarat                                                     ","Patan",32.0,31.0
126.0,181.0,"Shri  Adagooru  Vishwanath                                        ",15.0,4.0,"Karnataka                                                   ","Mysore",32.0,25.0
127.0,182.0,"Shri  R.  Dhruvanarayana                                    ",15.0,4.0,"Karnataka                                                   ","Chamrajanagar",32.0,28.0
128.0,183.0,"Shri  K.  Sudhakaran                                        ",15.0,4.0,"Kerala                                                      ","Kannur",32.0,21.0
129.0,185.0,"Shri  M. K.  Raghavan                                          ",15.0,4.0,"Kerala                                                      ","Kozhikode",32.0,19.0
130.0,186.0,"Shri  K. P.  Dhanapalan                                        ",15.0,4.0,"Kerala                                                      ","Chalakudy",32.0,32.0
131.0,187.0,"Shri  Dara Singh  Chauhan                                           ",15.0,4.0,"Uttar Pradesh                                               ","Ghosi",32.0,28.0
132.0,188.0,"Shri    Lalu Prasad                                       ",15.0,4.0,"Bihar                                                       ","Saran",32.0,29.0
133.0,189.0,"Shri  Shibu  Soren                                             ",15.0,4.0,"Jharkhand                                                   ","Dumka",32.0,2.0
134.0,190.0,"Shri  T.K.S.  Elangovan                                         ",15.0,4.0,"Tamil Nadu                                                  ","Chennai North",32.0,32.0
135.0,191.0,"Shri  Sudip  Bandyopadhyay                                     ",15.0,4.0,"West Bengal                                                 ","Kolkata Uttar",32.0,30.0
136.0,192.0,"Smt.  Supriya  Sule                                              ",15.0,4.0,"Maharashtra                                                 ","Baramati",32.0,31.0
137.0,193.0,"Shri   Udayanraje  Bhonsle                                          ",15.0,4.0,"Maharashtra                                                 ","Satara",32.0,12.0
138.0,194.0,"Shri  Sameer  Bhujbal                                           ",15.0,4.0,"Maharashtra                                                 ","Nashik",32.0,29.0
139.0,195.0,"Shri  D.  Venugopal                                         ",15.0,4.0,"Tamil Nadu                                                  ","Tiruvannamalai",32.0,24.0
140.0,196.0,"Shri  Kalyan  Banerjee                                          ",15.0,4.0,"West Bengal                                                 ","Sreerampur",32.0,25.0
141.0,197.0,"Shri  A.K.S.  Vijayan                                           ",15.0,4.0,"Tamil Nadu                                                  ","Nagapattinam",32.0,19.0
142.0,198.0,"Shri  E.G.  Sugavanam                                         ",15.0,4.0,"Tamil Nadu                                                  ","Krisnagiri",32.0,18.0
143.0,199.0,"Shri    Adhi Sankar                                       ",15.0,4.0,"Tamil Nadu                                                  ","Kallakurichi",32.0,16.0
144.0,200.0,"Dr.  Sanjeev Ganesh  Naik                                              ",15.0,4.0,"Maharashtra                                                 ","Thane",32.0,28.0
145.0,201.0,"Shri  Asaduddin  Owaisi                                            ",15.0,4.0,"Andhra Pradesh                                              ","Hyderabad",32.0,22.0
146.0,202.0,"Shri  Sansuma Khunggur  Bwiswmuthiary                                     ",15.0,4.0,"Assam                                                       ","Kokrajhar",32.0,16.0
147.0,203.0,"Dr.  Raghuvansh Prasad  Singh                                             ",15.0,4.0,"Bihar                                                       ","Vaishali",32.0,32.0
148.0,204.0,"Shri  Hassan  Khan                                              ",15.0,4.0,"Jammu and Kashmir                                           ","Ladakh",32.0,32.0
149.0,205.0,"Shri  Sadashivrao Dadoba  Mandlik                                           ",15.0,4.0,"Maharashtra                                                 ","Kolhapur",32.0,16.0
150.0,206.0,"Shri  R.  Thamaraiselvan                                    ",15.0,4.0,"Tamil Nadu                                                  ","Dharmapuri",32.0,24.0
151.0,207.0,"Shri    Abdul Rahman                                      ",15.0,4.0,"Tamil Nadu                                                  ","Vellore",32.0,23.0
152.0,208.0,"Shri  Somendranath  Mitra                                             ",15.0,4.0,"West Bengal                                                 ","Diamond Harbour",32.0,14.0
153.0,210.0,"Shri  Badruddin  Ajmal                                             ",15.0,4.0,"Assam                                                       ","Dhubri",32.0,19.0
154.0,211.0,"Shri  Babu Lal  Marandi                                           ",15.0,4.0,"Jharkhand                                                   ","Kodarma",32.0,13.0
155.0,212.0,"Shri  Mirza Mehboob  Beg                                               ",15.0,4.0,"Jammu and Kashmir                                           ","Anantnag",32.0,26.0
156.0,213.0,"Shri  Jagdambika  Pal                                               ",15.0,4.0,"Uttar Pradesh                                               ","Domariyaganj",32.0,31.0
157.0,214.0,"Shri  N.Dharam  Singh                                             ",15.0,4.0,"Karnataka                                                   ","Bidar",32.0,26.0
158.0,215.0,"Shri  H.D.  Kumaraswamy                                       ",15.0,4.0,"Karnataka                                                   ","Bangalore Rural",32.0,11.0
159.0,217.0,"Dr.  Kakoli Ghosh  Dastidar                                          ",15.0,4.0,"West Bengal                                                 ","Barasat",32.0,20.0
160.0,218.0,"Shri  K. R. G.  Reddy                                             ",15.0,4.0,"Andhra Pradesh                                              ","Bhongir",32.0,27.0
161.0,219.0,"Shri  Rajaiah  Siricilla                                         ",15.0,4.0,"Andhra Pradesh                                              ","Warangal",32.0,31.0
162.0,220.0,"Shri  Jitendra  Singh Malik                                       ",15.0,4.0,"Rajasthan                                                   ","Alwar",32.0,24.0
163.0,221.0,"Shri  P.L.  Punia                                             ",15.0,4.0,"Uttar Pradesh                                               ","Barabanki",32.0,30.0
164.0,222.0,"Shri  Kamal  Kishor   Commando                                 ",15.0,4.0,"Uttar Pradesh                                               ","Bahraich",32.0,32.0
165.0,223.0,"Dr.  Vinay Kumar  Panday ""Vinnu""                                    ",15.0,4.0,"Uttar Pradesh                                               ","Shrawasti",32.0,30.0
166.0,224.0,"Shri  Harsh  Vardhan                                           ",15.0,4.0,"Uttar Pradesh                                               ","Maharajganj",32.0,19.0
167.0,225.0,"Shri  Praveen Singh  Aron                                              ",15.0,4.0,"Uttar Pradesh                                               ","Bareilly",32.0,21.0
168.0,226.0,"Shri  Pradeep  Tamta                                             ",15.0,4.0,"Uttarakhand                                                 ","Almora",32.0,32.0
169.0,227.0,"Shri  S. S.  Ramasubbu                                         ",15.0,4.0,"Tamil Nadu                                                  ","Tirunelveli",32.0,32.0
170.0,228.0,"Shri  Sharief Ud Din  Shariq                                            ",15.0,4.0,"Jammu and Kashmir                                           ","Baramulla",32.0,29.0
171.0,229.0,"Shri  Mahesh  Joshi                                             ",15.0,4.0,"Rajasthan                                                   ","Jaipur",32.0,31.0
172.0,230.0,"Shri  Ijyaraj  Singh                                             ",15.0,4.0,"Rajasthan                                                   ","Kota",32.0,32.0
173.0,231.0,"Shri  E. T. Muhammed  Basheer                                           ",15.0,4.0,"Kerala                                                      ","Ponnani",32.0,30.0
174.0,232.0,"Shri  Gopal  Singh  Shekhawat                                  ",15.0,4.0,"Rajasthan                                                   ","Rajsamand",32.0,32.0
175.0,233.0,"Shri  Raghuvir Singh  Meena                                             ",15.0,4.0,"Rajasthan                                                   ","Udaipur",32.0,31.0
176.0,234.0,"Shri  Harish  Choudhary                                         ",15.0,4.0,"Rajasthan                                                   ","Barmer",32.0,31.0
177.0,235.0,"Shri  Badri Ram  Jakhar                                            ",15.0,4.0,"Rajasthan                                                   ","Pali",32.0,30.0
178.0,236.0,"Shri  Khiladi Lal  Bairwa                                            ",15.0,4.0,"Rajasthan                                                   ","Karauli-Dholpur",32.0,31.0
179.0,237.0,"Shri  Ratan  Singh                                             ",15.0,4.0,"Rajasthan                                                   ","Bharatpur",32.0,27.0
180.0,238.0,"Shri  Raja Ram  Pal                                               ",15.0,4.0,"Uttar Pradesh                                               ","Akbarpur",32.0,31.0
181.0,239.0,"Shri  Bharat Ram  Meghwal                                           ",15.0,4.0,"Rajasthan                                                   ","Ganganagar",32.0,32.0
182.0,240.0,"Shri  Zafar Ali  Naqvi                                             ",15.0,4.0,"Uttar Pradesh                                               ","Kheri",32.0,30.0
183.0,242.0,"Shri  Charles  Dias                                              ",15.0,4.0,"Kerala                                                      ","Nominated Anglo-Indian",32.0,32.0
184.0,243.0,"Shri  Mohinder Singh  Kaypee                                            ",15.0,4.0,"Punjab                                                      ","Jalandhar",32.0,31.0
185.0,244.0,"Shri  Partap Singh  Bajwa                                             ",15.0,4.0,"Punjab                                                      ","Gurdaspur",32.0,31.0
186.0,245.0,"Adv.  P. T.  Thomas                                            ",15.0,4.0,"Kerala                                                      ","Idukki",32.0,32.0
187.0,246.0,"Shri  M. I.  Shanavas                                          ",15.0,4.0,"Kerala                                                      ","Wayanad",32.0,30.0
188.0,247.0,"Shri  Anto  Antony                                            ",15.0,4.0,"Kerala                                                      ","Pathanamthitta",32.0,30.0
189.0,248.0,"Shri  N.  Peethambarakurup                                  ",15.0,4.0,"Kerala                                                      ","Kollam",32.0,29.0
190.0,249.0,"Shri  Om Prakash  Yadav                                             ",15.0,4.0,"Bihar                                                       ","Siwan",32.0,21.0
191.0,250.0,"Shri    Sivakumar @  Ritheesh                             ",15.0,4.0,"Tamil Nadu                                                  ","Ramanthapuram",32.0,14.0
192.0,251.0,"Shri  Sanjay Dina  Patil                                             ",15.0,4.0,"Maharashtra                                                 ","Mumbai-North-East",32.0,29.0
193.0,252.0,"Shri  Narayan Singh  Amlabe                                            ",15.0,4.0,"Madhya Pradesh                                              ","Rajgarh",32.0,31.0
194.0,253.0,"Shri  Jose K.  Mani                                              ",15.0,4.0,"Kerala                                                      ","Kottayam",32.0,30.0
195.0,254.0,"Shri  Kameshwar  Baitha                                            ",15.0,4.0,"Jharkhand                                                   ","Palamu",32.0,1.0
196.0,255.0,"Shri  N. Cheluvaraya Swamy  ",15.0,4.0,"Karnataka                                                   ","Mandya",32.0,13.0
197.0,256.0,"Shri  Thol Thirumaavalavan  ",15.0,4.0,"Tamil Nadu                                                  ","Chidambaram",32.0,4.0
198.0,257.0,"Shri  Prem Das  Rai                                               ",15.0,4.0,"Sikkim                                                      ","Sikkim",32.0,27.0
199.0,258.0,"Shri  C. M.  Chang                                             ",15.0,4.0,"Nagaland                                                    ","Nagaland",32.0,30.0
200.0,259.0,"Shri   Baliram  Jadhav                                          ",15.0,4.0,"Maharashtra                                                 ","Palghar",32.0,26.0
201.0,260.0,"Shri  Jagada Nand  Singh                                             ",15.0,4.0,"Bihar                                                       ","Buxar",32.0,32.0
202.0,261.0,"Shri  Uma Shanaker  Singh                                             ",15.0,4.0,"Bihar                                                       ","Maharajganj",32.0,32.0
203.0,262.0,"Smt.  J. Helen Davidson  ",15.0,4.0,"Tamil Nadu                                                  ","Kanniyakumari",32.0,26.0
204.0,263.0,"Shri  S. R.  Jeyadurai                                         ",15.0,4.0,"Tamil Nadu                                                  ","Thoothukkudi",32.0,28.0
